item_id,version,status,blueprint_version,major_category,subcategory,difficulty,tags_anatomy_region,tags_physics_concept,tags_positioning_theme,tags_clinical_concept,tags_imaging_system,stem,option_a,option_b,option_c,option_d,correct_option,explanation,author,last_updated,question_type,correct_options,image_path
PC-01,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,thorax,,breathing instructions,patient communication,general radiography,A patient speaks limited English and appears confused about breath-hold instructions for an upright chest radiograph. What is the best initial action?,Speak louder and repeat the instruction,Use simple gestures and demonstrate the instruction,Continue the exam to avoid delaying the schedule,Ask another patient in the room to translate,B,Demonstration and simple gestures improve understanding while maintaining privacy and professionalism. Speaking louder doesn’t improve comprehension. Proceeding without understanding increases motion risk. Using another patient as an interpreter risks confidentiality and accuracy.,chatgpt,2026-02-25,single,B,
PC-02,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,thorax,,contact precautions,infection control,portable radiography,A portable chest radiograph is requested for a patient on contact precautions. Which action best reduces cross-contamination?,Place the detector directly on the bed linens,"Use two clean detector covers, removing the outer cover before leaving the room",Wear sterile gloves and reuse them for the next patient,Disinfect the detector only after completing all morning portables,B,"Double-bagging allows the contaminated outer cover to be removed inside the room, protecting the detector and environment. Placing the detector on linens increases contamination risk. Gloves are not reused between patients. Delayed disinfection spreads pathogens.",chatgpt,2026-02-25,single,B,
PC-03,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,lower extremity,,transfer,fall risk,general radiography,A patient becomes dizzy when standing for a lower leg radiograph. What should the technologist do first?,Ask the patient to “push through it” to avoid repeats,Assist the patient to a seated or supine position and assess responsiveness,Continue the exposure quickly before the patient moves,Leave the room to find help after positioning is complete,B,Patient safety comes first—support and reassess to prevent a fall and determine if assistance is needed. Rushing the exposure increases harm risk. Leaving the patient unattended is unsafe. Encouraging them to continue can worsen syncope.,chatgpt,2026-02-25,single,B,
PC-04,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,4,,,monitoring,contrast reaction basics,fluoroscopy,"During a contrast study, a patient reports itching and develops hives but has no respiratory distress. What is the best immediate action?",Reassure the patient this is expected and continue the exam,Stop contrast administration and notify the radiologist promptly,Give the patient water and observe without reporting,Document after the exam and discharge the patient if stable,B,Urticaria suggests an allergic-like reaction; stopping contrast and notifying the radiologist allows timely evaluation and treatment. Continuing risks progression. Observation without notifying delays care. Documentation is important but not the first priority.,chatgpt,2026-02-25,single,B,
SP-01,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,inverse square law,,occupational dose,portable radiography,A technologist doubles their distance from the x-ray source during a portable exposure. Approximately how does their exposure change?,Doubles,Halves,Decreases to one-fourth,Decreases to one-eighth,C,"Exposure follows the inverse square law; doubling distance reduces intensity to 1/4. Doubling or halving contradicts inverse-square behavior. One-eighth would correspond to increasing distance by about 2.8×, not 2×.",chatgpt,2026-02-25,single,C,
SP-02,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,photon interactions,,image contrast,general radiography,"In diagnostic energy ranges, which interaction most contributes to scatter that degrades image contrast?",Photoelectric absorption,Compton scattering,Pair production,Coherent scattering as the dominant interaction,B,Compton scattering produces scattered photons that reach the detector and reduce contrast. Photoelectric absorption contributes to subject contrast but does not create scatter that exits the patient. Pair production does not occur at diagnostic energies. Coherent scatter occurs but is not the dominant contributor in most diagnostic exams.,chatgpt,2026-02-25,single,B,
SP-03,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,4,,biologic effects,,stochastic vs deterministic,general radiography,Which statement best describes a stochastic effect of radiation?,It has a threshold dose and severity increases with dose,It has no known threshold and probability increases with dose,It occurs only in rapidly dividing tissues and has a threshold,It is immediate and always reversible at diagnostic doses,B,"Stochastic effects are modeled as having no threshold; probability rises with dose. Deterministic effects have thresholds and severity increases with dose. Tissue sensitivity varies, but that doesn’t define stochastic effects. Immediate/reversible is not a defining feature.",chatgpt,2026-02-25,single,B,
RP-A01,1,review,RAD_2022_Jan,Safety,Radiation Protection,2,,filtration,,patient dose,general radiography,What is the primary patient-dose benefit of added filtration?,Increases the number of low-energy photons absorbed by the patient,Removes low-energy photons that would be absorbed superficially,Increases beam divergence to cover more anatomy,Increases scatter production to improve detector exposure,B,"Filtration removes low-energy photons that contribute to skin dose without improving image formation. Low-energy photons absorbed by the patient increase dose, not decrease it. Divergence is geometric, not filtration-driven. Scatter does not improve image quality.",chatgpt,2026-02-25,single,B,
RP-A02,1,review,RAD_2022_Jan,Safety,Radiation Protection,3,,collimation,,scatter control,general radiography,Tight collimation primarily improves image quality by reducing:,Heel effect,Scatter radiation reaching the detector,Detector sensitivity,Motion blur,B,"Collimation reduces irradiated tissue volume, decreasing scatter and improving contrast. Heel effect depends on anode geometry and field placement. Detector sensitivity is not changed by collimation. Motion blur relates to time and movement.",chatgpt,2026-02-25,single,B,
RP-A03,1,review,RAD_2022_Jan,Safety,Radiation Protection,4,,grid use,,dose management,general radiography,"A grid is added for an abdomen radiograph. To maintain detector exposure, which change is most appropriate?",Decrease mAs,Increase mAs,Decrease kVp significantly,Increase SID to reduce magnification,B,"Grids absorb scatter (and some primary), so mAs typically must increase to maintain receptor exposure. Decreasing mAs underexposes. Large kVp reductions can harm penetration and may not correct grid-related exposure loss. SID changes affect geometry, not grid transmission requirements.",chatgpt,2026-02-25,single,B,
